category,dayofweek,binofday,count,max,mean,min,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99,stdev
ART,0.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,0.0,41.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,0.0,42.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,0.0,43.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,0.0,44.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,0.0,45.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,0.0,46.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,0.0,47.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,12.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
ART,1.0,13.0,13.0,3.0,1.6153846153846154,1.0,1.0,1.6000000000000005,2.0,2.0,2.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.0,3.0,3.0,0.7679476477883046
ART,1.0,14.0,13.0,5.0,2.5384615384615383,1.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.0,3.0,3.6000000000000014,4.199999999999999,4.800000000000001,5.0,5.0,5.0,1.39136531360295
ART,1.0,15.0,13.0,6.0,3.4615384615384617,2.0,3.0,3.0,3.1999999999999993,3.8000000000000007,4.0,4.0,4.0,4.199999999999999,4.800000000000001,5.399999999999999,5.699999999999999,5.879999999999999,1.126601424298216
ART,1.0,16.0,13.0,4.0,1.8461538461538463,0.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.0,3.0,3.6000000000000014,4.0,4.0,4.0,4.0,4.0,1.6251232694862383
ART,1.0,17.0,13.0,4.0,1.2307692307692308,0.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.0,2.0,2.0,2.0,2.0,2.799999999999997,3.3999999999999986,3.759999999999998,1.1657505560686465
ART,1.0,18.0,13.0,4.0,2.230769230769231,0.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.0,3.0,3.6000000000000014,4.0,4.0,4.0,4.0,4.0,1.3008872711759818
ART,1.0,19.0,13.0,6.0,2.230769230769231,0.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.0,3.0,3.0,3.0,3.0,4.199999999999996,5.099999999999998,5.639999999999997,1.4806443503784736
ART,1.0,20.0,13.0,3.0,1.3076923076923077,0.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.0,3.0,3.0,1.031553471276484
ART,1.0,21.0,13.0,4.0,1.4615384615384615,0.0,1.0,1.6000000000000005,2.0,2.0,2.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.3999999999999986,3.6999999999999993,3.879999999999999,1.1982893790305562
ART,1.0,22.0,13.0,6.0,2.230769230769231,1.0,2.0,2.0,2.0,2.0,2.3999999999999986,3.0,3.0,3.1999999999999993,3.8000000000000007,4.799999999999997,5.399999999999999,5.759999999999998,1.4806443503784736
ART,1.0,23.0,13.0,4.0,1.8461538461538463,0.0,2.0,2.0,2.0,2.0,2.3999999999999986,3.0,3.0,3.0,3.0,3.3999999999999986,3.6999999999999993,3.879999999999999,1.214231845389905
ART,1.0,24.0,13.0,3.0,1.3846153846153846,0.0,1.0,1.0,1.0,1.0,1.3999999999999986,2.0,2.6000000000000014,3.0,3.0,3.0,3.0,3.0,1.0439078454267836
ART,1.0,25.0,13.0,3.0,1.0769230769230769,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6000000000000014,2.0,2.0,2.3999999999999986,2.6999999999999993,2.879999999999999,0.8623164985025763
ART,1.0,26.0,13.0,5.0,1.2307692307692308,0.0,1.0,1.0,1.0,1.0,1.3999999999999986,2.0,2.0,2.1999999999999993,2.8000000000000007,3.799999999999997,4.399999999999999,4.759999999999998,1.4806443503784736
ART,1.0,27.0,13.0,2.0,0.8461538461538461,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6000000000000014,2.0,2.0,2.0,2.0,2.0,0.8006407690254357
ART,1.0,28.0,13.0,3.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000014,1.1999999999999993,1.8000000000000007,2.3999999999999986,2.6999999999999993,2.879999999999999,0.9674179220468452
ART,1.0,29.0,13.0,2.0,0.46153846153846156,0.0,0.0,0.0,0.1999999999999993,0.8000000000000007,1.0,1.0,1.0,1.0,1.0,1.3999999999999986,1.6999999999999993,1.879999999999999,0.6602252917735247
ART,1.0,30.0,13.0,1.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000014,1.0,1.0,1.0,1.0,1.0,0.4385290096535146
ART,1.0,31.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
ART,1.0,32.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
ART,1.0,33.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,34.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,35.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,36.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
