category,dayofweek,binofday,count,max,mean,min,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99,stdev
ART,0.0,13.0,12.0,8.566666666669999,5.916666666667499,4.36666666667,5.699999999999999,5.768333333336499,5.786666666667999,5.89,6.22,6.4083333333325,6.426666666664,6.689999999998999,7.093333333336,7.796666666669998,8.181666666669999,8.412666666669999,1.1253282349448248
ART,0.0,14.0,12.0,10.933333333299998,7.738888888885833,6.0,7.4,7.500000000002999,7.866666666666,8.143333333330501,8.179999999999,8.3166666666675,8.573333333335999,8.900000000000999,9.266666666664001,10.053333333316498,10.493333333308248,10.7573333333033,1.40078140770376
ART,0.0,15.0,12.0,10.733333333300001,7.641666666663334,4.23333333333,7.566666666665,8.15833333333,8.433333333330001,8.653333333331,8.726666666668,8.858333333335,9.059999999998,9.20333333333,9.313333333330002,9.9633333333165,10.34833333330825,10.579333333303302,1.792640679567533
ART,0.0,16.0,12.0,9.03333333333,5.647222222221667,1.73333333333,5.533333333335,5.916666666666501,6.099999999998,6.353333333330001,6.793333333330001,7.141666666665,7.380000000002,7.7116666666699984,8.096666666669998,8.556666666666999,8.794999999998499,8.937999999997402,2.1477476260778685
ART,0.0,17.0,12.0,9.066666666669999,5.633333333333334,1.9,5.316666666665,5.509999999997001,6.353333333333999,7.021666666669,7.223333333332,7.416666666665,7.600000000002,8.075000000001,8.716666666664002,8.938333333333,9.002500000001499,9.0410000000026,2.3218766356359968
ART,0.0,18.0,12.0,8.166666666669999,5.583333333334166,2.66666666667,5.8,6.0183333333335005,6.220000000002,6.376666666668999,6.413333333332,6.5249999999975,6.726666666666,7.114999999999999,7.61,7.910000000001499,8.038333333335748,8.115333333336299,1.7021970354436207
ART,0.0,19.0,12.0,7.4,5.013888888889167,2.4333333333300002,4.833333333335,5.0116666666665,5.139999999998,5.3433333333310005,5.746666666667999,6.100000000002499,6.393333333334001,6.663333333334499,6.920000000002999,7.161666666668499,7.28083333333425,7.352333333333701,1.5039650176832584
ART,0.0,20.0,12.0,7.06666666667,4.736111111111666,2.66666666667,4.916666666665,4.934999999997,4.953333333334,5.0016666666695,5.130000000001,5.2583333333325,5.386666666664,5.95833333333,6.783333333330001,6.993333333333,7.0300000000014995,7.0520000000026,1.3763851303081858
ART,0.0,21.0,12.0,6.8,4.816666666665834,2.7,4.916666666665,5.12,5.34,5.53,5.64,5.7333333333325,5.806666666664,6.019999999999,6.313333333336,6.5616666666685,6.68083333333425,6.7523333333337,1.2809008824687402
ART,0.0,22.0,12.0,7.966666666669999,5.261111111111666,3.5,5.283333333334999,5.476666666669999,5.586666666669999,5.676666666669,5.713333333332001,5.833333333330001,6.05333333333,6.214999999999,6.343333333336,7.0866666666699984,7.526666666669999,7.79066666667,1.2386725815613893
ART,0.0,23.0,12.0,6.333333333330001,4.616666666665833,1.8,4.300000000000001,4.4316666666665006,4.779999999998,5.1783333333305,5.709999999998999,6.0,6.0,6.0466666666655,6.119999999997001,6.22333333333,6.278333333330001,6.31133333333,1.343183313676657
ART,0.0,24.0,12.0,7.3,4.516666666666667,2.9,4.533333333335,4.670000000003,4.706666666666,4.768333333331,4.896666666668,5.11666666667,5.4466666666700005,5.8233333333354995,6.2266666666670005,6.749999999999999,7.0249999999999995,7.19,1.3769751653761675
ART,0.0,25.0,12.0,7.333333333330001,3.9861111111110836,0.933333333333,3.833333333335,4.025,4.3,4.5799999999995,4.873333333331,5.341666666665,6.020000000002,6.418333333335499,6.656666666667,6.9849999999985,7.15916666666425,7.263666666663701,2.063999174561955
ART,0.0,26.0,12.0,6.1,3.791666666666666,0.5,3.8,4.2549999999970005,4.493333333334,4.6716666666695,4.6900000000010005,4.8333333333325,5.126666666664001,5.26833333333,5.32333333333,5.6783333333315,5.88916666666575,6.0156666666663,1.5976703367864267
