category,dayofweek,binofday,count,max,mean,min,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99,stdev
IVT,1.0,0.0,13.0,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.8000000000000007,1.0,1.0,1.0,0.3755338080994054
IVT,1.0,1.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,1.0,3.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,1.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,1.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,1.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,1.0,8.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,1.0,9.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,1.0,10.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,1.0,11.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,1.0,12.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,1.0,14.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,1.0,15.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,1.0,16.0,13.0,4.0,2.1538461538461537,0.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.0,3.0,3.0,3.0,3.0,3.3999999999999986,3.6999999999999993,3.879999999999999,1.0681880176381129
IVT,1.0,17.0,13.0,6.0,3.923076923076923,2.0,4.0,4.0,4.0,4.0,4.399999999999999,5.0,5.0,5.199999999999999,5.800000000000001,6.0,6.0,6.0,1.32045058354705
IVT,1.0,18.0,13.0,9.0,4.538461538461538,2.0,4.0,4.0,4.399999999999999,5.600000000000001,6.0,6.0,6.0,6.199999999999999,6.800000000000001,7.799999999999997,8.399999999999999,8.759999999999998,2.1061570302086774
IVT,1.0,19.0,13.0,9.0,4.538461538461538,1.0,4.0,4.0,4.399999999999999,5.600000000000001,6.0,6.0,6.600000000000001,7.199999999999999,7.800000000000001,8.399999999999999,8.7,8.879999999999999,2.436369724794953
IVT,1.0,20.0,13.0,14.0,6.3076923076923075,1.0,6.0,6.0,6.199999999999999,6.800000000000001,7.399999999999999,8.0,8.0,8.399999999999999,9.600000000000001,11.599999999999994,12.799999999999997,13.519999999999996,3.2757852845950124
IVT,1.0,21.0,13.0,10.0,6.615384615384615,3.0,7.0,7.6000000000000005,8.0,8.0,8.399999999999999,9.0,9.0,9.2,9.8,10.0,10.0,10.0,2.59930957302324
IVT,1.0,22.0,13.0,14.0,8.384615384615385,3.0,8.0,8.0,8.399999999999999,9.600000000000001,10.0,10.0,11.200000000000003,12.399999999999999,13.600000000000001,14.0,14.0,14.0,3.452980874994376
IVT,1.0,23.0,13.0,13.0,7.384615384615385,3.0,8.0,8.0,8.2,8.8,9.399999999999999,10.0,10.0,10.2,10.8,11.799999999999997,12.399999999999999,12.759999999999998,3.1764356737928114
IVT,1.0,24.0,13.0,15.0,8.76923076923077,5.0,8.0,9.200000000000001,10.0,10.0,10.0,10.0,10.600000000000001,11.399999999999999,12.600000000000001,13.799999999999997,14.399999999999999,14.759999999999998,3.059244082935253
IVT,1.0,25.0,13.0,11.0,8.307692307692308,5.0,9.0,9.0,9.0,9.0,9.399999999999999,10.0,10.600000000000001,11.0,11.0,11.0,11.0,11.0,2.1750331562459517
IVT,1.0,26.0,13.0,13.0,8.692307692307692,3.0,9.0,9.600000000000001,10.0,10.0,10.0,10.0,10.600000000000001,11.2,11.8,12.399999999999999,12.7,12.879999999999999,2.8397363546819907
IVT,1.0,27.0,13.0,15.0,8.76923076923077,4.0,9.0,9.0,9.0,9.0,9.399999999999999,10.0,10.600000000000001,11.399999999999999,12.600000000000001,13.799999999999997,14.399999999999999,14.759999999999998,3.059244082935253
IVT,1.0,28.0,13.0,11.0,7.3076923076923075,3.0,8.0,8.0,8.2,8.8,9.0,9.0,9.600000000000001,10.2,10.8,11.0,11.0,11.0,2.8102376941169753
IVT,1.0,29.0,13.0,14.0,7.615384615384615,4.0,7.0,7.6000000000000005,8.0,8.0,8.0,8.0,8.600000000000001,9.599999999999998,11.400000000000002,12.799999999999997,13.399999999999999,13.759999999999998,2.844247455785729
IVT,1.0,30.0,13.0,12.0,6.769230769230769,4.0,6.0,6.6000000000000005,7.199999999999999,7.800000000000001,8.399999999999999,9.0,9.0,9.0,9.0,10.199999999999996,11.099999999999998,11.639999999999997,2.4884347876341244
IVT,1.0,31.0,13.0,11.0,7.461538461538462,4.0,7.0,7.6000000000000005,8.0,8.0,8.399999999999999,9.0,9.600000000000001,10.2,10.8,11.0,11.0,11.0,2.2588855886396964
IVT,1.0,32.0,13.0,10.0,6.846153846153846,5.0,7.0,7.0,7.0,7.0,7.399999999999999,8.0,8.0,8.2,8.8,9.399999999999999,9.7,9.879999999999999,1.5730095277394152
IVT,1.0,33.0,13.0,12.0,7.538461538461538,2.0,7.0,8.200000000000001,9.0,9.0,9.399999999999999,10.0,10.600000000000001,11.0,11.0,11.399999999999999,11.7,11.879999999999999,3.0445411426405085
IVT,1.0,34.0,13.0,9.0,5.615384615384615,2.0,6.0,6.0,6.0,6.0,6.0,6.0,7.200000000000003,8.0,8.0,8.399999999999999,8.7,8.879999999999999,1.9806758753205747
IVT,1.0,35.0,13.0,9.0,5.769230769230769,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.600000000000001,7.399999999999999,8.600000000000001,9.0,9.0,9.0,1.7867030229749132
IVT,1.0,36.0,13.0,9.0,5.230769230769231,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.600000000000001,7.199999999999999,7.800000000000001,8.399999999999999,8.7,8.879999999999999,2.4547181153120263
IVT,1.0,37.0,13.0,6.0,3.3076923076923075,1.0,3.0,3.0,3.1999999999999993,3.8000000000000007,4.399999999999999,5.0,5.600000000000001,6.0,6.0,6.0,6.0,6.0,1.8878830906871762
IVT,1.0,38.0,13.0,6.0,2.8461538461538463,0.0,3.0,3.0,3.1999999999999993,3.8000000000000007,4.0,4.0,4.0,4.0,4.0,4.799999999999997,5.399999999999999,5.759999999999998,1.6756169931378435
IVT,1.0,39.0,13.0,5.0,2.3076923076923075,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6000000000000014,3.1999999999999993,3.8000000000000007,4.399999999999999,4.699999999999999,4.879999999999999,1.1094003924504583
IVT,1.0,40.0,13.0,4.0,1.4615384615384615,0.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.3999999999999986,3.0,3.0,3.0,3.0,3.3999999999999986,3.6999999999999993,3.879999999999999,1.3913653136029502
IVT,1.0,41.0,13.0,6.0,1.3846153846153846,0.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.0,2.0,2.0,2.1999999999999993,2.8000000000000007,4.199999999999996,5.099999999999998,5.639999999999997,1.7097008285302209
IVT,1.0,42.0,13.0,3.0,1.2307692307692308,0.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.0,2.0,2.0,2.0,2.0,2.3999999999999986,2.6999999999999993,2.879999999999999,0.9268086959962983
IVT,1.0,43.0,13.0,1.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000014,1.0,1.0,1.0,1.0,1.0,0.4385290096535146
IVT,1.0,44.0,13.0,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.8000000000000007,1.0,1.0,1.0,0.3755338080994054
IVT,1.0,45.0,13.0,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.8000000000000007,1.0,1.0,1.0,0.3755338080994054
IVT,1.0,46.0,13.0,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.8000000000000007,1.0,1.0,1.0,0.3755338080994054
IVT,1.0,47.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
