PatType,TheDateTime,Arrivals,Exits,Occupancy,DayType,TheWeekDay,TheTime,TheDate,UsedIt,deltaArr,deltaExit,deltaOcc
ART,35069.04167,0,0,0,Weekday,6,0.041666667,35069,-1,0,0,0
ART,35069.08333,0,0,0,Weekday,6,0.083333333,35069,-1,0,0,0
ART,35069.125,0,0,0,Weekday,6,0.125,35069,-1,0,0,0
ART,35069.16667,0,0,0,Weekday,6,0.166666667,35069,-1,0,0,0
ART,35069.20833,3,0,0.866666667,Weekday,6,0.208333333,35069,-1,0,0,5.9952E-15
ART,35069.25,4,0,4.816666667,Weekday,6,0.25,35069,-1,0,0,0
ART,35069.29167,6,5,8.133333333,Weekday,6,0.291666667,35069,-1,0,0,0
ART,35069.33333,4,7,6,Weekday,6,0.333333333,35069,-1,1,0,1
ART,35069.375,4,2,5.616666667,Weekday,6,0.375,35069,-1,-1,0,0
ART,35069.41667,6,7,6.3,Weekday,6,0.416666667,35069,-1,0,0,0
ART,35069.45833,2,1,6.533333333,Weekday,6,0.458333333,35069,-1,1,1,1
ART,35069.5,5,6,5.8,Weekday,6,0.5,35069,-1,-1,0,-1
ART,35069.54167,5,2,7.2,Weekday,6,0.541666667,35069,-1,0,-1,0
ART,35069.58333,1,6,5.933333333,Weekday,6,0.583333333,35069,-1,0,0,9.76996E-15
ART,35069.625,1,4,3.233333333,Weekday,6,0.625,35069,-1,0,0,0
ART,35069.66667,1,0,1.8,Weekday,6,0.666666667,35069,-1,0,0,0
ART,35069.70833,0,2,0.333333333,Weekday,6,0.708333333,35069,-1,0,0,3.9968E-15
ART,35069.75,0,0,0,Weekday,6,0.75,35069,-1,0,0,0
ART,35069.79167,0,0,0,Weekday,6,0.791666667,35069,-1,0,0,0
ART,35069.83333,0,0,0,Weekday,6,0.833333333,35069,-1,0,0,0
ART,35069.875,0,0,0,Weekday,6,0.875,35069,-1,0,0,0
ART,35069.91667,0,0,0,Weekday,6,0.916666667,35069,-1,0,0,0
ART,35069.95833,0,0,0,Weekday,6,0.958333333,35069,-1,0,0,0
ART,35070,0,0,0,Weekend,7,0,35070,-1,0,0,0
ART,35070.04167,0,0,0,Weekend,7,0.041666667,35070,-1,0,0,0
ART,35070.08333,0,0,0,Weekend,7,0.083333333,35070,-1,0,0,0
ART,35070.125,0,0,0,Weekend,7,0.125,35070,-1,0,0,0
ART,35070.16667,0,0,0,Weekend,7,0.166666667,35070,-1,0,0,0
ART,35070.20833,0,0,0,Weekend,7,0.208333333,35070,-1,0,0,0
ART,35070.25,0,0,0,Weekend,7,0.25,35070,-1,0,0,0
ART,35070.29167,0,0,0,Weekend,7,0.291666667,35070,-1,0,0,0
ART,35070.33333,0,0,0,Weekend,7,0.333333333,35070,-1,0,0,0
ART,35070.375,0,0,0,Weekend,7,0.375,35070,-1,0,0,0
ART,35070.41667,0,0,0,Weekend,7,0.416666667,35070,-1,0,0,0
ART,35070.45833,0,0,0,Weekend,7,0.458333333,35070,-1,0,0,0
ART,35070.5,0,0,0,Weekend,7,0.5,35070,-1,0,0,0
ART,35070.54167,0,0,0,Weekend,7,0.541666667,35070,-1,0,0,0
ART,35070.58333,0,0,0,Weekend,7,0.583333333,35070,-1,0,0,0
ART,35070.625,0,0,0,Weekend,7,0.625,35070,-1,0,0,0
ART,35070.66667,0,0,0,Weekend,7,0.666666667,35070,-1,0,0,0
ART,35070.70833,0,0,0,Weekend,7,0.708333333,35070,-1,0,0,0
ART,35070.75,0,0,0,Weekend,7,0.75,35070,-1,0,0,0
ART,35070.79167,0,0,0,Weekend,7,0.791666667,35070,-1,0,0,0
ART,35070.83333,0,0,0,Weekend,7,0.833333333,35070,-1,0,0,0
ART,35070.875,0,0,0,Weekend,7,0.875,35070,-1,0,0,0
ART,35070.91667,0,0,0,Weekend,7,0.916666667,35070,-1,0,0,0
ART,35070.95833,0,0,0,Weekend,7,0.958333333,35070,-1,0,0,0
ART,35071,0,0,0,Weekend,1,0,35071,-1,0,0,0
ART,35071.04167,0,0,0,Weekend,1,0.041666667,35071,-1,0,0,0
ART,35071.08333,0,0,0,Weekend,1,0.083333333,35071,-1,0,0,0
ART,35071.125,0,0,0,Weekend,1,0.125,35071,-1,0,0,0
ART,35071.16667,0,0,0,Weekend,1,0.166666667,35071,-1,0,0,0
ART,35071.20833,0,0,0,Weekend,1,0.208333333,35071,-1,0,0,0
ART,35071.25,0,0,0,Weekend,1,0.25,35071,-1,0,0,0
ART,35071.29167,0,0,0,Weekend,1,0.291666667,35071,-1,0,0,0
ART,35071.33333,0,0,0,Weekend,1,0.333333333,35071,-1,0,0,0
ART,35071.375,0,0,0,Weekend,1,0.375,35071,-1,0,0,0
ART,35071.41667,0,0,0,Weekend,1,0.416666667,35071,-1,0,0,0
ART,35071.45833,0,0,0,Weekend,1,0.458333333,35071,-1,0,0,0
ART,35071.5,0,0,0,Weekend,1,0.5,35071,-1,0,0,0
ART,35071.54167,0,0,0,Weekend,1,0.541666667,35071,-1,0,0,0
ART,35071.58333,0,0,0,Weekend,1,0.583333333,35071,-1,0,0,0
ART,35071.625,0,0,0,Weekend,1,0.625,35071,-1,0,0,0
ART,35071.66667,0,0,0,Weekend,1,0.666666667,35071,-1,0,0,0
ART,35071.70833,0,0,0,Weekend,1,0.708333333,35071,-1,0,0,0
ART,35071.75,0,0,0,Weekend,1,0.75,35071,-1,0,0,0
ART,35071.79167,0,0,0,Weekend,1,0.791666667,35071,-1,0,0,0
ART,35071.83333,0,0,0,Weekend,1,0.833333333,35071,-1,0,0,0
ART,35071.875,0,0,0,Weekend,1,0.875,35071,-1,0,0,0
ART,35071.91667,0,0,0,Weekend,1,0.916666667,35071,-1,0,0,0
ART,35071.95833,0,0,0,Weekend,1,0.958333333,35071,-1,0,0,0
ART,35072,0,0,0,Weekday,2,0,35072,-1,0,0,0
ART,35072.04167,0,0,0,Weekday,2,0.041666667,35072,-1,0,0,0
ART,35072.08333,0,0,0,Weekday,2,0.083333333,35072,-1,0,0,0
ART,35072.125,0,0,0,Weekday,2,0.125,35072,-1,0,0,0
ART,35072.16667,0,0,0,Weekday,2,0.166666667,35072,-1,0,0,0
ART,35072.20833,0,0,0,Weekday,2,0.208333333,35072,-1,0,0,0
ART,35072.25,7,0,4.133333333,Weekday,2,0.25,35072,-1,0,0,-4.9738E-14
ART,35072.29167,3,2,8.05,Weekday,2,0.291666667,35072,-1,0,1,-1
ART,35072.33333,4,6,4.533333333,Weekday,2,0.333333333,35072,-1,0,-1,0
ART,35072.375,1,3,5.366666667,Weekday,2,0.375,35072,-1,2,1,1
ART,35072.41667,4,4,5.266666667,Weekday,2,0.416666667,35072,-1,-2,-1,-1.95399E-14
ART,35072.45833,3,4,2.65,Weekday,2,0.458333333,35072,-1,0,0,1.9984E-14
ART,35072.5,2,1,3.033333333,Weekday,2,0.5,35072,-1,0,0,0
ART,35072.54167,2,2,3.95,Weekday,2,0.541666667,35072,-1,0,0,1.02141E-14
ART,35072.58333,1,4,2.366666667,Weekday,2,0.583333333,35072,-1,0,0,-9.76996E-15
ART,35072.625,1,1,0.983333333,Weekday,2,0.625,35072,-1,0,0,1.29896E-14
ART,35072.66667,0,0,1,Weekday,2,0.666666667,35072,-1,0,0,0
ART,35072.70833,0,1,0.25,Weekday,2,0.708333333,35072,-1,0,0,0
ART,35072.75,0,0,0,Weekday,2,0.75,35072,-1,0,0,0
ART,35072.79167,0,0,0,Weekday,2,0.791666667,35072,-1,0,0,0
ART,35072.83333,0,0,0,Weekday,2,0.833333333,35072,-1,0,0,0
ART,35072.875,0,0,0,Weekday,2,0.875,35072,-1,0,0,0
ART,35072.91667,0,0,0,Weekday,2,0.916666667,35072,-1,0,0,0
ART,35072.95833,0,0,0,Weekday,2,0.958333333,35072,-1,0,0,0
ART,35073,0,0,0,Weekday,3,0,35073,-1,0,0,0
ART,35073.04167,0,0,0,Weekday,3,0.041666667,35073,-1,0,0,0
ART,35073.08333,0,0,0,Weekday,3,0.083333333,35073,-1,0,0,0
ART,35073.125,0,0,0,Weekday,3,0.125,35073,-1,0,0,0
ART,35073.16667,0,0,0,Weekday,3,0.166666667,35073,-1,0,0,0
ART,35073.20833,0,0,0,Weekday,3,0.208333333,35073,-1,0,0,0
ART,35073.25,2,0,0.283333333,Weekday,3,0.25,35073,-1,0,0,1.9984E-15
ART,35073.29167,4,0,3.55,Weekday,3,0.291666667,35073,-1,0,0,-3.9968E-14
ART,35073.33333,3,5,6.833333333,Weekday,3,0.333333333,35073,-1,1,2,-9.76996E-15
ART,35073.375,4,3,2.716666667,Weekday,3,0.375,35073,-1,-1,-2,-9.76996E-15
ART,35073.41667,3,2,5.983333333,Weekday,3,0.416666667,35073,-1,0,1,-1
ART,35073.45833,2,6,3.8,Weekday,3,0.458333333,35073,-1,0,-1,1.9984E-14
ART,35073.5,4,1,4.2,Weekday,3,0.5,35073,-1,0,1,-1
ART,35073.54167,2,3,3.833333333,Weekday,3,0.541666667,35073,-1,0,0,-1
ART,35073.58333,1,2,2.716666667,Weekday,3,0.583333333,35073,-1,0,-1,-9.76996E-15
